,Unnamed: 0,Review,Date,Stars,Restaurant,feature_descriptors
2115,335,nice,2 years ago, 4 stars ,Odette,{}
2118,338,"This is a really top level restaurant and the experience is so impressive. It lives up to the top billing, though you will definitely pay top dollar for it. The service is performed by knowledgeable, interesting, savvy people. The dishes …",2 years ago, 5 stars ,Odette,"{'level': [], 'restaurant': [], 'experience': ['is', 'so', 'impressive', 'lives', 'top'], 'billing': ['definitely', 'pay', 'top'], 'dollar': [], 'service': ['performed', 'knowledgeable', 'interesting', 'savvy'], 'people': [], 'dishes': []}"
2120,340,"(Translated by Google) Excellent

(Original)
Excellent",2 years ago, 5 stars ,Odette,{'Excellent': []}
2122,342,Had the 8 Acts for lunch today. Desserts were great. Everyone expects the best out of Asia's best restaurant but some dishes fell short. Pacing of the dishes being served were also extremely inconsistent. It was way too fast at the start. …,2 years ago, 3 stars ,Odette,"{'Acts': [], 'lunch': [], 'today': [], 'Desserts': ['great', 'expects', 'best', 'best'], 'restaurant': [], 'dishes': ['served', 'also', 'extremely', 'inconsistent', 'way', 'too', 'fast'], 'start': []}"
2123,343,Food and ambience is awesome. great svc too,2 years ago, 5 stars ,Odette,"{'Food': [], 'ambience': ['awesome', 'great'], 'svc': ['too']}"
2124,344,Brilliant atmosphere with superb food,2 years ago, 5 stars ,Odette,"{'atmosphere': ['superb'], 'food': []}"
2125,345,"Extremely satisfying fine dining experience. The taste of each dish is wonderful, and the service is impeccable. Overall this is an expensive restaurant, but it does stand up to its reputation and the price charged. Would like to visit again.",2 years ago, 5 stars ,Odette,"{'dining': [], 'experience': [], 'taste': [], 'dish': ['wonderful'], 'service': ['is', 'impeccable', 'Overall', 'expensive'], 'restaurant': ['stand'], 'reputation': [], 'price': ['charged', 'like', 'visit', 'again']}"
2127,347,Good food but not worthy of 2 stars,2 years ago, 3 stars ,Odette,"{'food': ['worthy'], 'stars': []}"
2128,348,"Wonderful experience, great staff and excellent food. The ambiance was very nice, tried the full 4 course for 2 and loved every dish",2 years ago, 5 stars ,Odette,"{'experience': ['great'], 'staff': ['excellent'], 'food': [], 'ambiance': ['very', 'nice', 'tried', 'full'], 'course': ['loved'], 'dish': []}"
2129,349,Great place for special occasions!,2 years ago, 5 stars ,Odette,"{'place': ['special'], 'occasions': []}"
2131,351,Really tasty,2 years ago, 5 stars ,Odette,{}
2133,353,Great,2 years ago, 5 stars ,Odette,{}
2134,354,"Amazing food, service and ambience!",2 years ago, 5 stars ,Odette,"{'food': [], 'service': [], 'ambience': []}"
2135,355,"Excellent! Far better than the Fat Duck and tops Attica by a fair margin. The restaurant is high class but without being pretentious, the staff very welcoming and friendly. …",2 years ago, 5 stars ,Odette,"{'margin': [], 'restaurant': ['high'], 'class': ['being', 'pretentious'], 'staff': ['very', 'welcoming', 'friendly']}"
2136,356,Unsurprisingly the visit was excellent. From the interior to the staff and of course the amazing food. I enjoyed every minute!,2 years ago, 5 stars ,Odette,"{'visit': ['excellent'], 'interior': [], 'staff': [], 'course': ['amazing'], 'food': ['enjoyed'], 'minute': []}"
2138,358,"Amazing amazing experience. From the moment you step into the restaurant to the food until you leave, you will be impressed at every step. Service was impeccable and flawless, yet warm at the same time. Every dish served was perfect, every …",2 years ago, 5 stars ,Odette,"{'experience': [], 'moment': ['step'], 'restaurant': [], 'food': ['leave', 'be', 'impressed'], 'step': [], 'Service': ['impeccable', 'flawless', 'warm', 'same'], 'time': [], 'dish': ['served', 'perfect']}"
2139,359,"Amazing experience. Thank you! The dishes, the wine pairing and the service were outstanding!",2 years ago, 5 stars ,Odette,"{'experience': ['Thank'], 'dishes': [], 'wine': ['pairing'], 'service': ['outstanding']}"
2140,360,"It costs S$35 extra for the cheese. Was it worth it? We got to taste a lot of different kinds of cheese, both in taste and texture.All dishes were amazing, my favorites would be the Hokkaido uni and toast, abalone with foie gras, rosemary …",2 years ago, 5 stars ,Odette,"{'cheese': [], 'lot': ['different'], 'kinds': [], 'taste': [], 'texture': [], 'dishes': ['amazing'], 'favorites': ['be'], 'uni': [], 'toast': [], 'abalone': [], 'foie': [], 'gras': ['rosemary']}"
2141,361,"Oddette is probably in the top 5 best meals I've had in my life. I want to say top 3 (with Tickets and Akelarre as some other meals in that tier for me). I felt like the value of ambiance, service, and food was fairly matched by the cost of …",2 years ago, 5 stars ,Odette,"{'meals': [], 'life': ['want', 'say', 'top', 'other'], 'tier': ['felt'], 'value': [], 'ambiance': [], 'service': [], 'food': ['fairly', 'matched'], 'cost': []}"
2143,363,"Restaurant has a very nice ambience and the interior decor is very well done. Food is fantastic save for the Ricotta Cappellini which was a bit too rich and lacked any other flavour. Overall a very pleasant experience, will probably return again.",2 years ago, 4 stars ,Odette,"{'Restaurant': ['has', 'very', 'nice'], 'ambience': ['interior'], 'decor': ['is', 'very', 'well', 'done'], 'Food': ['fantastic'], 'save': ['was'], 'bit': ['too', 'rich', 'lacked', 'other'], 'flavour': ['Overall', 'very', 'pleasant'], 'experience': ['probably', 'return', 'again']}"
2145,365,"Third time here (had lunch and dinner previously) and was still very much impressed by their food, presentation and service. Love that they waive corkage for one bottle with each bottle purchased. The sommelier was very knowledgeable and …",2 years ago, 5 stars ,Odette,"{'time': ['here', 'had'], 'lunch': [], 'dinner': ['previously', 'was', 'still', 'very', 'much', 'impressed'], 'food': [], 'presentation': [], 'service': ['Love', 'waive'], 'corkage': [], 'bottle': ['purchased'], 'sommelier': ['very', 'knowledgeable']}"
2147,367,"Flawless in every way. Fully deserves its 2 michelin stars and its 18th spot in World's top restaurants. Staff , especially head waiter Zachary to be commended.",2 years ago, 5 stars ,Odette,"{'way': ['Fully', 'deserves'], 'michelin': [], 'stars': ['18th'], 'spot': ['top'], 'restaurants': [], 'Staff': ['especially', 'head'], 'waiter': ['commended']}"
2151,371,"Awesome restaurant
Julien is very personable chef
Highly recommended",2 years ago, 5 stars ,Odette,"{'restaurant': ['very', 'personable'], 'chef': ['Highly', 'recommended']}"
2153,373,Nice setting with attentive servers,2 years ago, 5 stars ,Odette,"{'setting': ['attentive'], 'servers': []}"
2154,374,"Amazing food and service, deffinently a world class venue.",2 years ago, 5 stars ,Odette,"{'food': [], 'service': ['deffinently'], 'world': [], 'class': [], 'venue': []}"
2164,384,"It's a luxurious restaurant which is perfect for celebrations or aniversary, not the usual dates on a friday night. The food was unique and done with such creativity. I really enjoyed the service and my time there.",2 years ago, 5 stars ,Odette,"{'restaurant': ['is', 'perfect'], 'celebrations': ['aniversary', 'usual'], 'dates': [], 'friday': [], 'night': [], 'food': ['unique', 'done', 'such'], 'creativity': ['really', 'enjoyed'], 'service': [], 'time': ['there']}"
2165,385,Great service tasty food and great ambiance. Definitely worth a visit,2 years ago, 5 stars ,Odette,"{'service': ['tasty'], 'food': ['great'], 'ambiance': ['Definitely', 'worth'], 'visit': []}"
2168,388,Go only if want to impress someone as it's not cheap. Like the food and services.,2 years ago, 5 stars ,Odette,"{'food': [], 'services': []}"
2169,389,Great experience,2 years ago, 5 stars ,Odette,{'experience': []}
2170,390,The food and ambience was excellent and what is expected of a 2 Michelin Star restaurant. Highly recommended!,2 years ago, 5 stars ,Odette,"{'food': [], 'ambience': ['excellent', 'expected'], 'restaurant': ['Highly', 'recommended']}"
2173,393,Recent change to the menu but food is still as good.,2 years ago, 5 stars ,Odette,"{'change': [], 'menu': [], 'food': ['still', 'as', 'good']}"
2174,394,Finely crafted food. Nuanced flavours. Impeccable service. Great wines.,2 years ago, 5 stars ,Odette,"{'food': ['Nuanced'], 'flavours': ['Impeccable'], 'service': ['Great'], 'wines': []}"
2175,395,"This restaurant is exquisite. I ordered 6 course lunch. From the painstaking efforts on every single creation (yes it's not food we're talking about here; it's art and fine creation), to the excellent service (genuine, personal, not …",2 years ago, 5 stars ,Odette,"{'restaurant': ['exquisite', 'ordered'], 'course': [], 'lunch': ['painstaking'], 'efforts': ['single'], 'creation': ['excellent'], 'food': ['talking', 'here'], 'art': ['fine'], 'service': ['genuine', 'personal']}"
2176,396,"Wife loved it so much, makes it worth the premium with excellent presentation and taste. Ambience and service did not impressed me that much, but the food made up it worthwhile.",2 years ago, 5 stars ,Odette,"{'premium': ['excellent'], 'presentation': [], 'taste': [], 'Ambience': [], 'service': ['impressed', 'that', 'much'], 'food': ['made', 'worthwhile']}"
2177,397,"Odette is located in a beautiful space inside the national gallery . The restaurant is a hommage to the chef's grandmother Odette.  Food is french with asian accent.  Service here is sublime , beautiful.  Food was like a ballet . Very well deserving of its accolades.",2 years ago, 5 stars ,Odette,"{'space': ['national'], 'gallery': [], 'restaurant': [], 'hommage': [], 'chef': [], 'grandmother': ['french', 'asian'], 'accent': ['here', 'sublime', 'beautiful'], 'ballet': ['Very', 'well', 'deserving'], 'accolades': []}"
2180,400,Wife is happy,2 years ago, 5 stars ,Odette,{}
2183,403,Amazing food and service,2 years ago, 5 stars ,Odette,"{'food': [], 'service': []}"
2184,404,One of those places and things in the world where primitive brain of people takes over and they rate the experience very high because they paid $500 for a dinner and went to a place rated very high by others. This was one of the most …,2 years ago, 2 stars ,Odette,"{'places': [], 'things': [], 'world': ['where', 'primitive'], 'brain': [], 'people': ['takes', 'rate'], 'experience': ['very', 'high', 'paid'], 'dinner': ['went'], 'place': ['rated', 'very', 'high'], 'others': ['most']}"
2185,405,"Absolutely loved everything about the place, it’s foods and the attentive service crew except the last time I went there’s this pesky little fly. Other than that, all is well and good. 😍",2 years ago, 5 stars ,Odette,"{'place': ['’s'], 'foods': ['attentive'], 'service': [], 'crew': ['last'], 'time': ['went', 'there', 'pesky', 'little'], 'fly': ['Other', 'well', 'good'], '😍': []}"
2186,406,Can't rave enough. Nothing much to say about the service but the food was indeed amazing.,2 years ago, 5 stars ,Odette,"{'service': [], 'food': ['indeed', 'amazing']}"
2187,407,"It's highly rated and recommended online, but that could easily lead to over-expectation... Taste was either too rich or too light for me, quail medium rare a bit stinky, dessert very sorbet related.. 8-course Dinner 400sgd++ per person, …",2 years ago, 2 stars ,Odette,"{'expectation': ['either', 'too', 'rich', 'too', 'light', 'quail'], 'medium': ['rare'], 'bit': ['stinky', 'dessert', 'very'], 'sorbet': ['related'], 'course': [], 'Dinner': [], 'person': []}"
2188,408,Had an amazing meal for my parents' anniversary celebration.,2 years ago, 5 stars ,Odette,"{'meal': [], 'parents': [], 'anniversary': [], 'celebration': []}"
2189,409,Exceptional !,2 years ago, 5 stars ,Odette,{}
2190,410,"Amazing food, service and ambiance. Located in a museum, which is also breathtaking. Please give them a visit!",2 years ago, 5 stars ,Odette,"{'food': [], 'service': [], 'ambiance': ['Located'], 'museum': ['also', 'breathtaking', 'give'], 'visit': []}"
2191,411,Excellent Food and Service,2 years ago, 5 stars ,Odette,{}
2194,414,"Great service and food, but very stiff on wallet",2 years ago, 5 stars ,Odette,"{'service': [], 'food': ['very', 'stiff'], 'wallet': []}"
2195,415,"It is superb. Great service, elegant ambience and best tasting dishes. If you visit here, you can experience indescribable two hours. You should realize why this restaurant was chosen as no.1 restaurant in Asia.",2 years ago, 5 stars ,Odette,"{'service': ['elegant'], 'ambience': ['best', 'tasting'], 'dishes': ['visit', 'here', 'experience', 'indescribable'], 'hours': ['realize', 'why'], 'restaurant': [], 'no.1': []}"
2196,416,"Everything was fresh, beautiful, and gorgeously plated. Service was incredibly friendly. A must visit!",2 years ago, 5 stars ,Odette,"{'Service': ['incredibly', 'friendly', 'visit']}"
2197,417,"What an incredible experience- beautiful and exquisite cuisine, lovely staff and sommelier in a beautiful setting. The meal was perfectly paced. Each course was delicious. The food was perfectly executed and cooked to perfection. The staff …",2 years ago, 5 stars ,Odette,"{'cuisine': ['lovely'], 'staff': [], 'sommelier': ['beautiful'], 'setting': [], 'meal': ['perfectly', 'paced'], 'course': ['delicious'], 'food': ['perfectly', 'executed', 'cooked'], 'perfection': []}"
2198,418,"My son and I had the pleasure of dining at Odette last night - a truly extraordinary experience, from start to finish. Chef Julien and his team deserve all the accolades that have come their way, and perhaps more. We are very lucky to have a restaurant of this caliber in Singapore.",2 years ago, 5 stars ,Odette,"{'son': ['had'], 'pleasure': [], 'dining': ['last'], 'night': ['truly', 'extraordinary'], 'experience': [], 'start': [], 'finish': [], 'team': ['deserve'], 'accolades': ['come'], 'way': ['perhaps', 'more', 'very', 'lucky', 'have'], 'restaurant': [], 'caliber': []}"
2199,419,"I ordered a weekend 6 acts lunch. The foods were superbly prepared with high quality ingredients. Contrary to some other fine dining experiences, Odette actually make sure you were well fed with the preminum price you paid. There were three …",2 years ago, 4 stars ,Odette,"{'weekend': ['acts'], 'lunch': [], 'foods': ['superbly', 'prepared', 'high'], 'quality': [], 'ingredients': ['Contrary', 'other', 'fine'], 'dining': [], 'experiences': ['actually', 'make', 'sure', 'well', 'fed'], 'preminum': [], 'price': ['paid']}"
2200,420,"Absolutely amazing food and service, the food was a form of art and theatre. Yet was delicious, a very unique experience from beginning to end. And a price to reflect, but thoroughly enjoyed overall. We did the 6 courses with wine pairing , and a cheese selection and we were not disappointed.",2 years ago, 5 stars ,Odette,"{'food': [], 'service': [], 'form': [], 'art': [], 'theatre': ['delicious', 'very', 'unique'], 'experience': ['beginning'], 'end': [], 'price': ['reflect', 'thoroughly', 'enjoyed', 'overall', 'did'], 'courses': [], 'wine': ['pairing'], 'cheese': [], 'selection': ['disappointed']}"
2201,421,"(Translated by Google) I like jokes and rolls. Very delicious!!! The price is also expensive, fortunately bring change. Overall this place is charming ❤ …",2 years ago, 5 stars ,Odette,"{'jokes': [], 'rolls': ['Very', 'delicious'], 'price': ['also', 'expensive', 'fortunately', 'bring'], 'change': ['Overall'], 'place': ['charming'], '❤': []}"
2204,424,Totally deserving of the #1 restaurant in SEA.,2 years ago, 5 stars ,Odette,{'restaurant': []}
2206,426,"great service , good  food",2 years ago, 5 stars ,Odette,"{'service': ['good'], 'food': []}"
2207,427,"Not sure where to start ...
Perfect lunch, perfect food, perfect ambiance.
Julien Royer is Master in his Art. …",2 years ago, 5 stars ,Odette,"{'lunch': ['perfect'], 'food': ['perfect'], 'ambiance': [], 'Art': []}"
2208,428,"Awesome food, awesome service. Fully deserve its michelin stars!",2 years ago, 5 stars ,Odette,"{'food': ['awesome'], 'service': ['Fully', 'deserve'], 'michelin': [], 'stars': []}"
2211,431,"(Translated by Google) Perfection!

(Original)
La perfection!",2 years ago, 5 stars ,Odette,{'perfection': []}
2213,433,A beautiful restaurant in the National Gallery. The service is great but relaxed so that you do not have a stuffy feeling. Geoffrey is great.,2 years ago, 5 stars ,Odette,"{'restaurant': [], 'service': ['great', 'relaxed', 'have', 'stuffy'], 'feeling': ['great']}"
2214,434,Probably the most looked after restaurant in Singapore and that's for a reason. Julien is one of the most gifted chefs of his generation. Definitely one of the best tables in the world.,2 years ago, 5 stars ,Odette,"{'restaurant': [""'s""], 'reason': ['most', 'gifted'], 'chefs': [], 'generation': ['Definitely', 'best'], 'tables': [], 'world': []}"
2215,435,"Lovely service but a table behind the entrance does not cut it for a fine-dining restaurant. Thought has been put into the decor and it was great to see the chefs behind the glass kitchen. However, I think table arrangement needs to …",2 years ago, 3 stars ,Odette,"{'service': [], 'table': [], 'entrance': ['cut', 'fine'], 'dining': [], 'restaurant': [], 'Thought': ['put'], 'decor': ['was', 'great', 'see'], 'chefs': [], 'glass': [], 'kitchen': ['However', 'think'], 'arrangement': ['needs']}"
2216,436,Normally,2 years ago, 4 stars ,Odette,{}
2218,438,"Excellent! Great service, great food !",2 years ago, 5 stars ,Odette,"{'service': ['great'], 'food': []}"
2219,439,12 out 10 if I could. Well deserving of the 2 stars.,2 years ago, 5 stars ,Odette,{'stars': []}
2220,440,"The food and service is on point and AMAZINGGGG!!!! The price tho is very expensive but for a 2michellin star restaurant it's considered ok :-) they serve little dishes in between courses that they dont charge for!! Overall, an incredible experience :-)",2 years ago, 5 stars ,Odette,"{'food': [], 'service': [], 'point': [], 'price': [], 'tho': ['very', 'expensive'], 'star': [], 'restaurant': ['considered', 'ok', 'serve', 'little'], 'dishes': [], 'courses': ['charge', 'Overall', 'incredible'], 'experience': []}"
2221,441,"Food is well presented and superb but it is the service that got it the stars. Accommodating, efficient and non pretentious from start to finish. Well deserved reputation.",2 years ago, 5 stars ,Odette,"{'Food': ['well', 'presented'], 'superb': ['is'], 'service': ['got'], 'stars': ['Accommodating', 'efficient', 'non', 'pretentious'], 'start': [], 'finish': ['deserved'], 'reputation': []}"
2222,442,"(Translated by Google) The treatment is incredible and the quality of the product insurmountable. Maybe the price is a little high compared to other Michelin stars, but being in Singapore is understandable ... …",2 years ago, 5 stars ,Odette,"{'treatment': ['incredible'], 'quality': [], 'product': ['insurmountable', 'Maybe'], 'price': ['little', 'high', 'compared', 'other'], 'stars': ['being', 'is', 'understandable']}"
2225,445,Very good restaurant,2 years ago, 5 stars ,Odette,{'restaurant': []}
2227,447,Best french fine dining in Singapore. Service was amicable. Definately worth every cent.,2 years ago, 5 stars ,Odette,"{'dining': [], 'Service': ['amicable', 'Definately', 'worth'], 'cent': []}"
2229,449,"2* Michelin - spent a great evening with friends here for dinner. Ordered the tasting menu. Lovely ambience with of course, top notch food, presentation and service. Only slightly disappointed with the petits fours. …",2 years ago, 5 stars ,Odette,"{'evening': [], 'friends': ['here'], 'dinner': ['Ordered'], 'tasting': [], 'menu': ['Lovely'], 'ambience': [], 'course': ['top', 'notch'], 'food': [], 'presentation': [], 'service': ['Only', 'slightly', 'disappointed'], 'petits': [], 'fours': []}"
2230,450,"Very good restaurant on a super location, we love the atmosphere and attitude of staffs, warm welcoming and always smile",2 years ago, 5 stars ,Odette,"{'restaurant': ['super'], 'location': ['love'], 'atmosphere': [], 'attitude': [], 'staffs': ['warm'], 'welcoming': ['always', 'smile']}"
2232,452,"Our experience at Odette was disappointing!

Having dined in many Michelin starred restaurants around the world, we had …",2 years ago, 2 stars ,Odette,"{'experience': ['disappointing', 'dined', 'many', 'starred'], 'restaurants': [], 'world': ['had']}"
2233,453,Everything is perfect!,2 years ago, 5 stars ,Odette,{}
2234,454,Amazing experience!,2 years ago, 5 stars ,Odette,{'experience': []}
2238,458,"Housed in the National Gallery Odette is the most discreet and intimate of restaurants - named by Chef Julien Royer and inspired by his
grandmother Odette. …",2 years ago, 5 stars ,Odette,"{'restaurants': ['named', 'inspired'], 'grandmother': []}"
2239,459,Best pigeon I've ever had by far. Enjoyed all of our orders. Pricey but well worth it.,2 years ago, 5 stars ,Odette,"{'pigeon': ['ever', 'had', 'far', 'Enjoyed'], 'orders': ['well', 'worth']}"
2241,461,Delicious food but somewhat overpriced in my opinion. Good for a special night out,2 years ago, 4 stars ,Odette,"{'food': ['somewhat', 'overpriced'], 'opinion': ['Good', 'special'], 'night': ['out']}"
2244,464,"Refined food prettily presented. Sophisticated ambience and service. Definitely worth a visit for the alluring experience. Wished I came here for my birthday treat, rather than splashing my calories and bucks in a not so great fine diner 665",2 years ago, 4 stars ,Odette,"{'food': ['prettily', 'presented', 'Sophisticated'], 'ambience': [], 'service': ['Definitely', 'worth'], 'visit': ['alluring'], 'experience': ['Wished', 'came', 'here'], 'birthday': [], 'treat': ['rather', 'splashing'], 'calories': [], 'bucks': ['so', 'great', 'fine'], 'diner': []}"
2245,465,"Love French cuisine, fine dining, Michilin stars restaurant? That is Odette experience.  A gastronomic experience not to be missed!",2 years ago, 5 stars ,Odette,"{'cuisine': ['fine'], 'dining': [], 'stars': [], 'restaurant': [], 'experience': ['missed']}"
2247,467,"We've been to a lot of Michelin restaurants (including many in this year's top 50), and can safely say that none of them can stand up against our experience tonight at Odette. Every dish was unique and surprising in its flavors. The staff …",2 years ago, 5 stars ,Odette,"{'lot': [], 'restaurants': ['including', 'many'], 'year': ['top', 'safely', 'say'], 'none': ['stand'], 'experience': [], 'tonight': [], 'dish': ['unique', 'surprising'], 'flavors': [], 'staff': []}"
2248,468,Pigeon. Best jus ever...,2 years ago, 5 stars ,Odette,{'jus': ['ever']}
2249,469,"Interesting restaurant that doesn't serve beef/lamb/pork, only seafood and fowl.
Beautiful interior. Love the hanging ornaments, white sheer curtains and pale, …",2 years ago, 3 stars ,Odette,"{'restaurant': ['serve'], 'beef': [], 'lamb': [], 'pork': ['only'], 'seafood': [], 'fowl': ['Beautiful'], 'interior': ['Love', 'hanging'], 'ornaments': ['white', 'sheer'], 'curtains': ['pale']}"
2252,472,"The creativity and presentation of food is what one would expect from a 2-Michelin Star restaurant, nothing really more and not much less. We liked the pine smoked organic egg there. Atmosphere and location are both nice. There is room to improve service level.",2 years ago, 4 stars ,Odette,"{'creativity': [], 'presentation': [], 'food': ['expect'], 'restaurant': ['really', 'more', 'much', 'less', 'liked', 'pine', 'smoked', 'organic'], 'egg': ['there'], 'Atmosphere': [], 'location': ['both', 'nice'], 'room': ['improve'], 'service': [], 'level': []}"
2253,473,"Let's start with the location. The location is good as it is at the National Gallery. It can be a pain to find it and can take a while. You might want to plan accordingly. On the positive side, even if you are late, the stuff would not even …",2 years ago, 3 stars ,Odette,"{'location': ['good', 'is', 'be'], 'pain': ['find', 'take'], 'while': ['want', 'plan', 'accordingly', 'positive'], 'side': ['even', 'are', 'late'], 'stuff': ['even']}"
2255,475,"Incredible dishes, great ambiance and awsome service. Just a perfect experience!",2 years ago, 5 stars ,Odette,"{'dishes': ['great'], 'ambiance': ['awsome'], 'service': ['Just', 'perfect'], 'experience': []}"
2256,476,Incredible,2 years ago, 5 stars ,Odette,{}
2258,478,"Great food and experience. A little pricey considering the ""sistery"" place Jaan. Went to both the same day and the menu is very similar so not sure who is trying whom but expecting more diversity considering top notch restauranta in town. …",2 years ago, 4 stars ,Odette,"{'food': [], 'experience': ['little', 'pricey', 'considering'], 'sistery': [], 'place': ['Went', 'same'], 'day': [], 'menu': ['is', 'very', 'similar', 'so', 'sure', 'trying', 'expecting', 'more'], 'diversity': ['considering', 'top'], 'notch': ['restauranta'], 'town': []}"
2259,479,Excellent dining experience. Service and food we're both great. I was stuffed after just the four course. The appetizers and starters were delicious. The pork was a bit tough. Petit fours at the end we're a huge miss and an unfortunate end to an otherwise great meal.,2 years ago, 4 stars ,Odette,"{'dining': [], 'experience': [], 'Service': [], 'food': [""'re"", 'both', 'great', 'stuffed', 'just'], 'course': [], 'appetizers': [], 'starters': ['delicious'], 'pork': [], 'bit': ['tough'], 'Petit': ['fours'], 'end': ['otherwise', 'great'], 'miss': ['unfortunate'], 'meal': []}"
2260,480,love the ambiance and super great food <3,2 years ago, 4 stars ,Odette,"{'ambiance': ['super', 'great'], 'food': []}"
2261,481,"(Translated by Google) Exceptional

(Original)
Exceptionnel",2 years ago, 5 stars ,Odette,{}
2263,483,Excellent food either at lunch or dinner - a terrific experience!,3 years ago, 5 stars ,Odette,"{'food': [], 'lunch': [], 'dinner': ['terrific'], 'experience': []}"
2265,485,Exquisite food. Ranked 28th in the world.,3 years ago, 5 stars ,Odette,"{'food': ['Ranked'], '28th': [], 'world': []}"
2266,486,"Odette was perfect. Every bite was a unique experience in itself and took you on a journey, visually and with the insane tastes, textures and temperatures. The service was impeccable, everything you would expect and more. Would highly recommend for a special occasion, we felt like royalty.",3 years ago, 5 stars ,Odette,"{'bite': ['unique'], 'experience': ['took'], 'journey': ['visually'], 'insane': [], 'tastes': [], 'textures': [], 'temperatures': [], 'service': ['impeccable', 'expect', 'more', 'highly', 'recommend', 'special'], 'occasion': ['felt'], 'royalty': []}"
2268,488,"The young team is really on top of it at all times. Very friendly, easy going and not formal and boring like at many other places or maybe even arrogant. Not at Odette. Very impressive and it is a real pleasure to see how lively an experience can be at a top restaurant.",3 years ago, 5 stars ,Odette,"{'team': ['really'], 'top': [], 'times': ['Very', 'friendly', 'easy'], 'going': ['formal', 'boring', 'many', 'other'], 'places': ['maybe', 'even', 'arrogant', 'Very', 'impressive', 'real'], 'pleasure': ['see', 'how', 'lively'], 'experience': ['be', 'top'], 'restaurant': []}"
2269,489,"What a brilliant location for a Michelin star restaurant. Attention to detail is remarkable, as expected. If you are a food lover, you have to experience this at least once. …",3 years ago, 5 stars ,Odette,"{'location': [], 'star': [], 'restaurant': [], 'Attention': [], 'detail': ['remarkable', 'expected', 'are'], 'food': [], 'lover': ['have', 'experience', 'least', 'once']}"
2270,490,"Great ambience and wonderful wine pairing experience... the six course menu was creative, inviting and super yum. Food was 4 out of 5 stars. Service was 5 out of 5 stars.",3 years ago, 5 stars ,Odette,"{'ambience': ['wonderful'], 'wine': ['pairing'], 'experience': [], 'course': [], 'menu': ['creative', 'inviting', 'super'], 'yum': [], 'Food': [], 'stars': [], 'Service': []}"
2271,491,"We had an wonderful evening at Odette. Needless to say, the food was unbelievable. The cooking was excellent and the presentation was beautiful. Good ambiance, friendly waiters/waitress and a well thought out French-Asian menu. It was …",3 years ago, 5 stars ,Odette,"{'evening': ['Needless', 'say'], 'food': ['unbelievable'], 'cooking': ['excellent'], 'presentation': ['was', 'beautiful', 'Good'], 'ambiance': ['friendly'], 'waiters': [], 'waitress': ['well'], 'thought': ['French', 'Asian'], 'menu': []}"
2274,494,First time to visit and surprise with the ambience and warmth greetings from the reception counter. Very nice decor and ambience but the private dining room is a little too warm and fan has to be used ! This is the only part I think they …,3 years ago, 4 stars ,Odette,"{'time': ['visit', 'surprise'], 'ambience': ['private'], 'warmth': [], 'greetings': [], 'reception': [], 'counter': ['Very', 'nice'], 'decor': [], 'dining': [], 'room': ['little', 'too', 'warm'], 'fan': ['has', 'used', 'only'], 'part': ['think']}"
2275,495,"(Translated by Google) Magnificent cuisine by a dedicated French chef. Every piece was delicious! Fantastic!! Very good French cuisine by a large restaurant created by a young chef. Inspired by his beloved grandmother, the food was …",3 years ago, 5 stars ,Odette,"{'cuisine': ['large'], 'chef': ['Inspired', 'beloved'], 'piece': ['delicious', 'Fantastic', 'Very', 'good', 'French'], 'restaurant': ['created', 'young'], 'grandmother': [], 'food': []}"
2277,497,Amongst the top French restaurants in the country and befitting the 2 Michelin stars conferred by the guide over the past 3 years. Dishes exhibit sophisticated cooking technique and execution with good depth and balance. Asian inspired or …,3 years ago, 5 stars ,Odette,"{'restaurants': [], 'country': ['befitting'], 'stars': ['conferred'], 'guide': ['past'], 'years': [], 'Dishes': ['exhibit', 'sophisticated'], 'cooking': [], 'technique': [], 'execution': ['good'], 'depth': [], 'balance': ['Asian', 'inspired']}"
2279,499,"If you only have one fine-dining experience in your life, let it be Odette. The service is impeccable from the moment you enter the restaurant. Even the bread basket is instagram-worthy. Unlike some other fine-dining restaurants that try …",3 years ago, 5 stars ,Odette,"{'dining': [], 'experience': [], 'life': ['let', 'be'], 'service': ['impeccable'], 'moment': ['enter'], 'restaurant': ['Even'], 'bread': [], 'basket': [], 'instagram': ['worthy', 'other', 'fine'], 'restaurants': ['try']}"
2281,501,"Probably THE BEST eating experience I’ve ever had! Have you ever gone to Louvre , Paris and watched the Mona Lisa? It’s the food equivalent of eating food art...",3 years ago, 5 stars ,Odette,"{'experience': ['ever', 'had', 'ever', 'gone', 'watched', '’s'], 'food': [], 'art': []}"
2282,502,Amazing menu prepared by Chef Julien Royer and attention to detail by his amazing staff. Had the pleasure of meeting Chef Royer and having a photo opportunity. It's a must life experience!!!,3 years ago, 5 stars ,Odette,"{'menu': ['prepared'], 'attention': [], 'detail': ['amazing'], 'staff': ['Had'], 'pleasure': ['meeting', 'having'], 'photo': [], 'opportunity': [], 'life': [], 'experience': []}"
2283,503,"Very disappointed with the food at Odette.
Went as a party of four and with the bill ending up at over $400 per person(without any alcohol!!), it just made the experience worse. I am usually more than …",3 years ago, 1 star ,Odette,"{'food': ['Went'], 'party': [], 'bill': ['ending'], 'alcohol': ['just', 'made'], 'experience': ['worse', 'usually', 'more']}"
